symbol,status,selected_strategy_id,pattern,timeframe,windows,positive_windows,positive_rate,total_test_net_pnl,avg_test_net_pnl,min_window_net_pnl,worst_test_drawdown,avg_test_win_rate,total_test_trades,walk_forward_score,reason,params_json
SP,observe,ensemble_trend|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,ensemble_trend,1d,4,1,0.25,20132.856,5033.214,0.0,-3467.1440000000002,0.25,1,43859.986639999996,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 20, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 80, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
RM,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.8|tq0.2|strict,ensemble_trend,60m,4,4,1.0,688.4150000000001,172.10375000000002,57.743,-1354.809000000001,0.875,5,25208.372500282636,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
RM,observe,ensemble_trend|both|1d|w3|sw0.006|br0.0015|lb120|sl0.015|mh96|cd4|atr14|am2|ex12|mom40|vol24|th0.4|tq0.2|strict,ensemble_trend,1d,4,2,0.5,6494.284,1623.571,-864.777,-2412.6900000000005,0.5,6,22231.88481061364,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 40, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 120, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
HC,observe,ensemble_trend|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am3|ex12|mom20|vol24|th0.4|tq0.2|strict,ensemble_trend,1d,4,3,0.75,1131.186,282.7965,-453.099,-1678.455,0.625,5,18888.99804,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 20, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 80, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
CJ,observe,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,ensemble_trend,30m,4,2,0.5,1261.5525,315.388125,0.0,-479.4950000000008,0.375,3,14026.403906021289,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
SA,observe,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,ensemble_trend,30m,4,2,0.5,588.0360000000001,147.00900000000001,-482.592,-702.5919999999996,0.41666666666666663,5,12538.064466666667,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
FG,observe,ensemble_trend|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,ensemble_trend,1d,4,1,0.25,4622.856000000001,1155.7140000000002,-842.03,-2968.2180000000008,0.3333333333333333,7,11797.689162895409,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 20, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 80, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
RM,observe,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,ensemble_trend,30m,4,1,0.25,1525.758,381.4395,-219.166,-472.5730000000003,0.3125,6,10147.794249999999,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 96, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
SR,observe,ensemble_trend|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.3|strict,ensemble_trend,1d,4,2,0.5,14.17999999999995,3.5449999999999875,-1134.91,-1835.2700000000004,0.5,3,9862.007112857144,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 20, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 80, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
CJ,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,ensemble_trend,60m,4,2,0.5,-770.1725000000001,-192.54312500000003,-910.9000000000001,-1291.2425000000003,0.5,4,9188.41575,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
SR,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,ensemble_trend,60m,4,1,0.25,744.4649999999999,186.11624999999998,-325.257,-345.2569999999996,0.25,3,7589.106609232329,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
CS,observe,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,ensemble_trend,30m,4,1,0.25,371.875,92.96875,-445.437,-470.91600000000017,0.25,3,6913.59709,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
RB,observe,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am3|ex12|mom48|vol24|th0.8|tq0.2|strict,ensemble_trend,30m,4,1,0.25,0.38700000000000045,0.09675000000000011,-23.155,-249.64400000000023,0.125,3,5895.308550899939,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 96, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
HC,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.8|tq0.2|strict,ensemble_trend,60m,4,1,0.25,-349.98699999999997,-87.49674999999999,-223.202,-280.0,0.25,3,5108.891784594786,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
CS,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,ensemble_trend,60m,4,1,0.25,-393.23699999999997,-98.30924999999999,-182.674,-452.77100000000064,0.125,5,4210.458081342038,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
RB,observe,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.8|tq0.3|strict,ensemble_trend,60m,4,1,0.25,-412.59399999999994,-103.14849999999998,-263.031,-469.5689999999995,0.125,4,3744.932721384642,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""ensemble_trend"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
